date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:06	36553/36553	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:07%20GMT	https://m.latindream.com/ficha/index/4579?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4579572f.html	(from https://m.latindream.com/)
20:59:06	18528/18528	---M--	200	added ('OK')	image/jpeg	etag:%224860-590cef5e-98b0126%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4579/activa/portada-4579-450313027.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4579/activa/portada-4579-450313027.jpg	(from https://m.latindream.com/)
20:59:06	15946/15946	---M--	200	added ('OK')	image/jpeg	etag:%223e4a-59106bb7-5124af0%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4576/activa/portada-4576-1890719892.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4576/activa/portada-4576-1890719892.jpg	(from https://m.latindream.com/)
20:59:06	24079/24079	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:07%20GMT	https://m.latindream.com/ficha/index/4576?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4576572f.html	(from https://m.latindream.com/)
20:59:07	28353/28353	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:08%20GMT	https://m.latindream.com/ficha/index/4570?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4570572f.html	(from https://m.latindream.com/)
20:59:07	14660/14660	---M--	200	added ('OK')	image/jpeg	etag:%223944-591326c9-806a0e2%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4570/activa/portada-4570-479339543.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4570/activa/portada-4570-479339543.jpg	(from https://m.latindream.com/)
20:59:07	37722/37722	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:08%20GMT	https://m.latindream.com/ficha/index/4569?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4569572f.html	(from https://m.latindream.com/)
20:59:07	11730/11730	---M--	200	added ('OK')	image/jpeg	etag:%222dd2-59139418-898a602%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4569/activa/portada-4569-1325223902.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4569/activa/portada-4569-1325223902.jpg	(from https://m.latindream.com/)
20:59:08	27898/27898	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:08%20GMT	https://m.latindream.com/ficha/index/4562?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4562572f.html	(from https://m.latindream.com/)
20:59:08	19333/19333	---M--	200	added ('OK')	image/jpeg	etag:%224b85-59123b61-9067a8f%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4562/activa/portada-4562-1156013045.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4562/activa/portada-4562-1156013045.jpg	(from https://m.latindream.com/)
20:59:08	27592/27592	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:09%20GMT	https://m.latindream.com/ficha/index/4561?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4561572f.html	(from https://m.latindream.com/)
20:59:08	16961/16961	---M--	200	added ('OK')	image/jpeg	etag:%224241-59027b7f-d07afd6%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4561/activa/portada-4561-289783747.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4561/activa/portada-4561-289783747.jpg	(from https://m.latindream.com/)
20:59:09	28471/28471	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:10%20GMT	https://m.latindream.com/ficha/index/4559?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4559572f.html	(from https://m.latindream.com/)
20:59:09	14435/14435	---M--	200	added ('OK')	image/jpeg	etag:%223863-5903fe80-71ba8%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4559/activa/portada-4559-98553694.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4559/activa/portada-4559-98553694.jpg	(from https://m.latindream.com/)
